project,distribution,loc,scale
PrestaShop_PrestaShop,powerlaw,1.6091463214617114,1227765996.819982
gitlab.com_quicla_platform/system/netd,powerlaw,3.2650730375637593,1165963167.1380854
aws-aemilia_CanaryTestOnly-DoNotTouch-ap-east-1,norm,1552583258.5597296,8138700.396129614
wmshort_latinwordnet-archive,rayleigh,1570848747.8167102,14220397.74155846
devkitPro_newlib,cauchy,1498617503.8003387,82670833.99347925
EricLindemann_CSCI-4308-Open-Sources-Data-Analytics,rayleigh,1446994424.596965,5796194.602139753
edom_eclipse,powerlaw,18.625471366620804,-1232002655.6398082
NgoMike_gitfiti,norm,1539509055.3428645,1669656.5116491916
cirosantilli_imagine-all-the-people,lognorm,10.034478507384776,946684799.9999998
qooxdoo_qooxdoo,cauchy,1218599973.638617,40561201.86994439
pcheng11_RainGame,expon,0.0,3501404.409933381
openssl_openssl,cauchy,1478826037.8329525,76364812.8928819
ofiwg_libfabric,rayleigh,1332220597.1983085,133472157.43726727
szeder_all-git-forks,gamma,296.7829954601772,-938133306.9308827
hannesmuehleisen_MonetDBLite-C,rayleigh,1041528310.3758285,199849216.86230925
jadonk_bonescript,rayleigh,1426013695.084292,81809064.5131438
roytam1_mozilla-cvs-history-subtree,gamma,1.7771304581584475,888067037.1158898
wikimedia_integration-config,rayleigh,1402638187.2902806,70246903.3060824
AlfrescoTestAutomation_alfresco-desktopsync,powerlaw,154.0473890316795,-11946720837.220512
mkschreder_openwrt-xorg-feed,rayleigh,1225800859.8651989,43466427.81105269
openstack_openstack,gamma,3.252092231477349,1365235570.4822068
sourcemage_grimoire,expon,1132918201.0,198948658.84935665
Wadauk_scihub_ck,cauchy,1523602262.3290415,1983642.6103523592
pbaffiliatetwoop_testRepository,powerlaw,1.1037270484809465,1500036401.642048
repo.or.cz_tails,rayleigh,1243140826.7104926,149380435.58632776
mtn_cocoa-eh-hugo-theme,cauchy,1577535317.5117629,11573074.862638783
bio-repo_ncbi_cpp_toolkit,gamma,3312.310106841267,-7421476975.743675
topcoder-platform_tc-online-review,gamma,0.3416224538199115,-1.4390223681724228e-13
ballerina-platform_ballerina-lang,gamma,46.99347872363829,1264121479.6495385
mad-science_18135,uniform,1461700851.0,731.0
Plailect_Guide_3DS,cauchy,1497621490.8824766,9775538.17312051
google_angle,powerlaw,3.0497352100526687,1236162037.1042213
pars-linux_corporate2,cauchy,1273912858.2856414,25058527.19334188
rossabaker_abolish-ice,powerlaw,0.8902926736567531,1561910400.9999962
xbmc_xbmc,rayleigh,1048180537.6306038,205163145.71651965
sourceconnect-testing_reposync,powerlaw,1.117540252298201,1522787146.5747833
ChristopheDucamp_christopheducamp.github.io,norm,1533384260.8488379,6786562.124561885
trilinos_Trilinos,norm,1305107942.2758992,156599692.06570336
BOINC_boinc,gamma,3.7029105035851506,984319038.8032234
tmtmtmtm_romanian-parliament,rayleigh,1465210185.1366487,41788453.5187714
MariusCiocanel_0.0,powerlaw,2.169739962168004,1350012371.4154782
demisto_content,powerlaw,2.384741901946528,1465125003.1537645
qemu_edk2,powerlaw,1.290798484135443,1142604908.6256433
regro_repodata-shards,gamma,1.5392406336726387,1597229823.4838543
xanderself_one-million-commit,lognorm,10.03446774061465,946681199.9999999
infaautovcs_DependencyUIAuto,cauchy,1604647438.6526601,2045184.1521463303
mquinson_PLM-data,rayleigh,1389010097.4816294,45060531.03270767
obfuscated_codeblocks_sf,gamma,2.141479973614353,1080967176.3509812
istio_istio,powerlaw,1.3005304927610712,1479512058.7634654
xwvvvvwx_untrustix-git-testdata,uniform,0.0,3325786.0
Indicia-Team_drupal-7-module-jquerymobile,cauchy,1382376036.243361,29757267.44606878
SSWConsulting_SSW.Rules,powerlaw,1.3658886717069654,1237402167.6495352
mozilla_gecko-dev,cauchy,1384301896.1183896,116687259.3302983
android.googlesource.com_platform_external/qemu,cauchy,1501030634.4208078,58629777.95485687
RIOT-OS_RIOT,norm,1506778432.4667795,58076279.90614624
oqeerbfo_OEIS-copy,lognorm,12.06931647980091,1223114239.9999998
skbkontur_hackathon-2018.1-team6,norm,1523130540.3930054,59362.243516233815
petervandivier_link-breaker,rayleigh,1597405749.555376,4425.351742890041
skbkontur_hackathon-2018.1-team20,norm,1523135732.7067919,1594.0436474296378
asterisk_asterisk,gamma,28.162389041910885,701405087.1689712
CRAZYFAKE_handiwork,norm,1492995647.0484793,1929468.3139777859
wikimedia_mediawiki-extensions-MobileFrontend,gamma,3.8835068954533023,1305496587.4503565
Azure_azure-sdk-for-python,norm,1565909630.308889,36057722.90504677
feralEndre_sensorinfo,powerlaw,1.0153738555700675,1582474355.4895458
MmxBoy_ELT-BOT,cauchy,1460835881.3716505,5802240.218367286
WPArena_SEO-WP,cauchy,1425402426.5239885,48279024.9760544
Leaflet_Leaflet,norm,1459931343.1051598,89063738.50849374
weiyeh_OpenBSD-src,powerlaw,1.11508831005284,813983569.0552816
AdrianDC_aosp_development_sony8960_q,norm,1476539314.3913994,90811623.72002663
easybuilders_easybuild-easyconfigs,powerlaw,1.3469215877982137,1331189830.8877473
va1entei_retdec,uniform,1584349960.0,7203105.0
f-droid_fdroiddata,powerlaw,2.225988375269422,1278603168.7946172
samber_powEUr,powerlaw,0.9861679197706716,1547912293.9999995
nicopeters_sigrhtest,norm,1518622988.7009363,16670277.182326734
kuali_kc,rayleigh,1166269630.5402195,126186147.4974281
